_url,name,birth_year,weight,height,nationality
romain-gregoire1,Romain  Grégoire,2003.0,64.0,176.0,France
jimmy-duquennoy,Jimmy  Duquennoy,1995.0,75.0,179.0,Belgium
maurizio-tomi,Maurizio  Tomi,1968.0,,,Italy
jasper-stuyven,Jasper  Stuyven,1992.0,78.0,187.0,Belgium
sean-bennett,Sean  Bennett,1996.0,66.0,178.0,United States
marek-rutkiewicz,Marek  Rutkiewicz,1981.0,66.0,182.0,Poland
sergey-firsanov,Sergey  Firsanov,1982.0,58.0,172.0,Russia
rui-miguel-sousa-barbosa,Rui  Sousa,1976.0,59.0,171.0,Portugal
scott-stewart,Scott  Stewart,1987.0,,,United States
gustavo-rodriguez-iglesias,Gustavo  Rodríguez,1979.0,,,Spain
jose-luis-faura-asensio,Jose Luis  Faura,2000.0,,,Spain
xandres-vervloesem,Xandres  Vervloesem,2000.0,65.0,185.0,Belgium
jose-nazabal-mimendia,José  Nazabal,1951.0,,,Spain
marco-zanotti-1,Marco  Zanotti,1974.0,70.0,180.0,Italy
fabian-jeker,Fabian  Jeker,1968.0,72.0,177.0,Switzerland
jan-hruska,Jan  Hruška,1975.0,62.0,174.0,Czech Republic
william-walker,William  Walker,1985.0,,,Australia
amael-moinard,Amaël  Moinard,1982.0,69.0,180.0,France
nicolas-dalla-valle,Nicolas  Dalla Valle,1997.0,73.0,,Italy
brent-bookwalter,Brent  Bookwalter,1984.0,70.0,180.0,United States
pedro-merino-criado,Pedro  Merino,1987.0,55.0,170.0,Spain
pierino-gavazzi,Pierino  Gavazzi,1950.0,67.0,169.0,Italy
marco-milesi,Marco  Milesi,1970.0,78.0,191.0,Italy
fabian-fuchs,Fabian  Fuchs,1961.0,,,Switzerland
arkaitz-duran,Arkaitz  Durán,1986.0,70.0,185.0,Spain
matvey-mamykin,Matvey  Mamykin,1994.0,62.0,179.0,Russia
piet-kleine,Piet  Kleine,1951.0,86.0,188.0,Netherlands
juan-carlos-dominguez,Juan Carlos  Domínguez,1971.0,64.0,178.0,Spain
dermot-nally,Dermot  Nally,1980.0,,,Ireland
meinrad-vogele,Meinrad  Vögele,1949.0,,,Switzerland
jimmy-turgis,Jimmy  Turgis,1991.0,63.0,175.0,France
daan-olivier,Daan  Olivier,1992.0,64.0,188.0,Netherlands
jan-tilborg,Jan Van Tilborg,1953.0,,,Netherlands
alberto-vinale,Alberto  Vinale,1978.0,,,Italy
aldo-donadello,Aldo  Donadello,1953.0,,,Italy
edoardo-zardini,Edoardo  Zardini,1989.0,62.0,173.0,Italy
robert-sassone,Robert  Sassone,1978.0,75.0,181.0,France
maxim-gourov,Maxim  Gourov,1979.0,75.0,189.0,Kazakhstan
dirk-muller,Dirk  Müller,1973.0,,,Germany
matej-jurco,Matej  Jurčo,1984.0,69.0,186.0,Slovakia
maxim-smirnov,Maxim  Smirnov,1976.0,,,Russia
adrian-palomares,Adrián  Palomares,1976.0,56.0,165.0,Spain
yves-bonnamour,Yves  Bonnamour,1961.0,,,France
pierangelo-bincoletto,Pierangelo  Bincoletto,1959.0,,,Italy
samuel-watson,Samuel  Watson,2001.0,68.0,186.0,Great Britain
eelke-van-der-wal,Eelke van der Wal,1981.0,,,Netherlands
ger-harings,Ger  Harings,1948.0,,,Netherlands
michael-rosborg,Michael  Rosborg,1971.0,,,Denmark
andreas-stauff,Andreas  Stauff,1987.0,82.0,192.0,Germany
geert-verheyen,Geert  Verheyen,1973.0,68.0,178.0,Belgium
willy-sprangers,Willy  Sprangers,1954.0,,,Belgium
carlos-melero,Carlos  Melero,1948.0,,,Spain
kevin-vauquelin,Kévin  Vauquelin,2001.0,69.0,176.0,France
giancarlo-casiraghi,Giancarlo  Casiraghi,1956.0,,,Italy
johan-van-der-velde,Johan van der Velde,1956.0,,,Netherlands
don-allan,Donald  Allan,1949.0,73.0,180.0,Australia
francisco-galdos,Francisco  Galdos,1947.0,,,Spain
jorge-martin-montenegro,Jorge Martín  Montenegro,1983.0,,,Spain
david-belda,David  Belda,1983.0,53.0,163.0,Spain
rene-pijnen,René  Pijnen,1946.0,72.0,175.0,Netherlands
oliver-zaugg,Oliver  Zaugg,1981.0,58.0,167.0,Switzerland
jure-kocjan,Jure  Kocjan,1984.0,72.0,182.0,Slovenia
michel-bibollet,Michel  Bibollet,1963.0,,,France
lucien-van-impe,Lucien Van Impe,1946.0,59.0,167.0,Belgium
riccardo-forconi,Riccardo  Forconi,1970.0,71.0,184.0,Italy
antonio-esparza,Antonio  Esparza,1962.0,,,Spain
peter-roes,Peter  Roes,1964.0,,,Belgium
santiago-laczano,Santiago  Lazcano,1947.0,,,Spain
guido-beyens,Guido  Beyens,1955.0,,,Belgium
luca-covili,Luca  Covili,1997.0,58.0,180.0,Italy
laurent-roux,Laurent  Roux,1972.0,,,France
steven-tronet,Steven  Tronet,1986.0,67.0,175.0,France
nick-nuyens,Nick  Nuyens,1980.0,68.0,177.0,Belgium
antonio-sobrino,Antonio  Sobrino,1956.0,,,Spain
davide-ricci-bitti,Davide  Ricci Bitti,1984.0,60.0,180.0,Italy
donato-cannone,Donato  Cannone,1982.0,75.0,186.0,Italy
fredrik-dversnes,Fredrik  Dversnes,1997.0,,,Norway
manabu-ishibashi,Manabu  Ishibashi,1992.0,68.0,177.0,Japan
jean-claude-bagot,Jean-Claude  Bagot,1958.0,,,France
olav-kooij,Olav  Kooij,2001.0,72.0,184.0,Netherlands
kamil-gradek,Kamil  Gradek,1990.0,81.0,194.0,Poland
alvaro-gonzalez,Álvaro  González de Galdeano,1970.0,,,Spain
patrick-gretsch,Patrick  Gretsch,1987.0,69.0,187.0,Germany
sergio-barbero,Sergio  Barbero,1969.0,,,Italy
steve-chainel,Steve  Chainel,1983.0,69.0,180.0,France
tanner-putt,Tanner  Putt,1992.0,75.0,178.0,United States
keith-lambert,Keith  Lambert,1947.0,,,Great Britain
desire-letort,Désiré  Letort,1943.0,,,France
zdenek-stybar,Zdeněk  Štybar,1985.0,68.0,183.0,Czech Republic
franco-pica,Franco  Pica,1961.0,,,Italy
romain-cardis,Romain  Cardis,1992.0,72.0,181.0,France
joni-brandao,Joni  Brandão,1989.0,64.0,176.0,Portugal
jose-santos,Jose  Santos,1973.0,,,Portugal
sacha-modolo,Sacha  Modolo,1987.0,67.0,180.0,Italy
hugh-carthy,Hugh  Carthy,1994.0,69.0,191.0,Great Britain
samuele-conti,Samuele  Conti,1991.0,68.0,187.0,Italy
gaetan-bille,Gaëtan  Bille,1988.0,67.0,182.0,Belgium
zbigniew-ludwiniak,Zbigniew  Ludwiniak,1963.0,,,Poland
felix-rafael-cardenas,Félix Rafael  Cárdenas,1972.0,59.0,167.0,Colombia
henk-vogels,Henk  Vogels,1973.0,75.0,183.0,Australia
juan-mauricio-soler-hernandez,Juan Mauricio  Soler,1983.0,70.0,190.0,Colombia
sebastien-duret,Sébastien  Duret,1980.0,62.0,177.0,France
michael-schlickau,Michael  Schlickau,1969.0,,,Germany
hector-orlando-mesa-mesa,Hector Orlando  Mesa,1976.0,,,Colombia
hossein-askari,Hossein  Askari,1975.0,73.0,179.0,Iran
alfonso-dal-pian,Alfonso Dal Pian,1957.0,,,Italy
antonio-nibali,Antonio  Nibali,1992.0,65.0,180.0,Italy
jan-serpenti,Jan  Serpenti,1945.0,,,Netherlands
alessandro-bazzana,Alessandro  Bazzana,1984.0,63.5,180.0,Italy
vicente-lopez-carril,Vicente  López,1942.0,,,Spain
mekseb-debesay,Mekseb  Debesay,1991.0,64.0,182.0,Eritrea
josef-lontscharitsch,Josef  Lontscharitsch,1970.0,70.0,180.0,Austria
roman-kreuziger-sr,Roman  Kreuziger,1965.0,,,Czech Republic
michele-merlo,Michele  Merlo,1984.0,63.0,175.0,Italy
paulo-barroso,Paulo  Barroso,1972.0,,,Portugal
martial-gayant,Martial  Gayant,1962.0,69.0,183.0,France
cees-bol,Cees  Bol,1995.0,83.0,194.0,Netherlands
michael-vink,Michael  Vink,1991.0,73.0,190.0,New Zealand
nicki-sorensen,Nicki  Sørensen,1975.0,71.0,182.0,Denmark
benny-ceulen,Benny  Ceulen,1951.0,,,Netherlands
gerard-veldscholten,Gerard  Veldscholten,1959.0,,,Netherlands
attilio-rota,Attilio  Rota,1945.0,,,Italy
tanguy-turgis,Tanguy  Turgis,1998.0,61.0,171.0,France
didier-lebaud,Didier  Lebaud,1954.0,,,France
cameron-scott,Cameron  Scott,1998.0,80.0,183.0,Australia
leo-wellens,Léo  Wellens,1959.0,,,Belgium
eric-vanderaerden,Eric  Vanderaerden,1962.0,74.0,182.0,Belgium
francisco-cabello,Francisco  Cabello,1969.0,72.0,174.0,Spain
ilan-van-wilder,Ilan Van Wilder,2000.0,64.0,171.0,Belgium
michal-podlaski,Michał  Podlaski,1988.0,68.0,178.0,Poland
jorge-arcas,Jorge  Arcas,1992.0,68.0,187.0,Spain
tomas-aurelio-gil-martinez,Tomas Aurelio  Gil Martinez,1977.0,60.0,165.0,Venezuela
marc-gomez,Marc  Gomez,1954.0,,,France
david-de-la-fuente,David de la Fuente,1981.0,67.0,175.0,Spain
yuri-trofimov,Yuri  Trofimov,1984.0,59.0,169.0,Russia
manuel-beltran,Manuel  Beltrán,1971.0,60.0,178.0,Spain
anthony-rokia,Anthony  Rokia,1972.0,,,France
stephen-williams,Stephen  Williams,1996.0,59.0,183.0,Great Britain
roger-kluge,Roger  Kluge,1986.0,83.0,192.0,Germany
marcel-wust,Marcel  Wüst,1967.0,,,Germany
cedric-fragniere,Cédric  Fragniere,1976.0,,,Switzerland
daniel-lloyd1,Daniel  Lloyd,1980.0,70.0,187.0,Great Britain
steven-van-malderghem,Steven Van Malderghem,1977.0,,,Belgium
isidro-juarez,Isidro  Juarez,1956.0,,,Spain
niki-ruttimann,Niki  Rüttimann,1962.0,,,Switzerland
manuel-calvente-corbas,Manuel  Calvente,1976.0,55.0,168.0,Spain
rene-foucachon,Rene  Foucachon,1966.0,,,France
eduardo-ramirez-gonzalo,Eduardo  Gonzalo,1983.0,66.0,177.0,Spain
jose-luis-viejo,José Luis  Viejo,1949.0,64.0,165.0,Spain
jose-luis-abilleira,José Luis  Abilleira,1947.0,,,Spain
jose-luis-pacheco,José Luis  Pacheco,1948.0,,,Portugal
aleksejs-saramotins,Aleksejs  Saramotins,1982.0,75.0,185.0,Latvia
mikel-zarrabeitia,Mikel  Zarrabeitia,1970.0,63.0,179.0,Spain
willy-van-malderghem,Willy Van Malderghem,1949.0,,,Belgium
joey-rosskopf,Joey  Rosskopf,1989.0,74.0,186.0,United States
eduardo-correia,Eduardo  Correia,1961.0,,,Portugal
bernard-deville,Bernard  Deville,1942.0,,,Belgium
olaf-pollack,Olaf  Pollack,1973.0,77.0,185.0,Germany
delmino-pereira,Delmino  Pereira,1967.0,,,Portugal
uwe-peschel,Uwe  Peschel,1968.0,72.0,179.0,Germany
daisuke-imanaka,Daisuke  Imanaka,1963.0,,,Japan
robin-stenuit,Robin  Stenuit,1990.0,77.0,185.0,Belgium
jan-christen,Jan  Christen,2004.0,60.0,183.0,Switzerland
dominique-arnould,Dominique  Arnould,1966.0,,,France
alexandre-vinokourov,Alexandre  Vinokourov,1973.0,68.0,177.0,Kazakhstan
tom-cordes,Tom  Cordes,1966.0,70.0,179.0,Netherlands
yaroslav-popovych,Yaroslav  Popovych,1980.0,64.0,175.0,Ukraine
rudi-altig,Rudi  Altig,1937.0,,,Germany
ernesto-manchon,Ernesto  Manchon,1972.0,,,Spain
gijs-van-hoecke,Gijs Van Hoecke,1991.0,78.0,186.0,Belgium
rick-flens,Rick  Flens,1983.0,82.0,187.0,Netherlands
egan-bernal,Egan  Bernal,1997.0,60.0,175.0,Colombia
matteo-di-serafino,Matteo Di Serafino,1986.0,,,Italy
eduardo-gonzalez,Eduardo  González,1960.0,,,Spain
christian-murro,Christian  Murro,1978.0,,,Italy
harry-lodge,Harry  Lodge,1967.0,,,Great Britain
joan-marti-bennassar,Joan Marti  Bennassar,1999.0,75.0,190.0,Spain
faustino-ruperez,Faustino  Rupérez,1956.0,,,Spain
jacques-van-der-poel,Jacques van der Poel,1963.0,,,Netherlands
michael-barry,Michael  Barry,1975.0,72.0,189.0,Canada
alfred-gaida,Alfred  Gaida,1951.0,65.0,169.0,Germany
emile-cambre,Emile  Cambré,1948.0,,,Belgium
peter-van-brecht,Peter Van Brecht,1965.0,,,Belgium
alberto-fernandez-de-la-puebla-ramos,Alberto  Fernández de la Puebla,1984.0,63.0,174.0,Spain
javier-claramunt,Javier  Claramunt,1968.0,,,Spain
alfons-de-bal,Alfons De Bal,1943.0,,155.0,Belgium
timothy-roe,Timothy  Roe,1989.0,66.0,183.0,Australia
cristian-moreni,Cristian  Moreni,1972.0,65.0,175.0,Italy
matthew-busche,Matthew  Busche,1985.0,69.0,174.0,United States
miguel-angel-martinez,Miguel Ángel  Martinez,1961.0,,,Spain
daniel-atienza-urendez,Daniel  Atienza,1974.0,60.0,170.0,Spain
michael-giebelmann,Michael  Giebelmann,1974.0,,,Germany
frans-van-looy,Frans Van Looy,1950.0,75.0,179.0,Belgium
anton-luengo,Antton  Luengo,1981.0,,,Spain
adam-de-vos,Adam de Vos,1993.0,,187.0,Canada
ludo-engelen,Ludo  Engelen,1957.0,,,Belgium
xavier-aldanondo,Xavier  Aldanondo,1967.0,,,Spain
jose-angel-vidal,José Angel  Vidal,1969.0,71.0,172.0,Spain
jean-pierre-baert,Jean-Pierre  Baert,1951.0,,,Belgium
remo-rossi,Remo  Rossi,1968.0,,,Italy
stefano-gandin,Stefano  Gandin,1996.0,69.0,185.0,Italy
ezequiel-mosquera-miguez,Ezequiel  Mosquera,1975.0,65.0,177.0,Spain
patrice-halgand,Patrice  Halgand,1974.0,67.0,179.0,France
bas-giling,Bas  Giling,1982.0,72.0,185.0,Netherlands
rik-verbrugghe,Rik  Verbrugghe,1974.0,70.0,180.0,Belgium
matti-breschel,Matti  Breschel,1984.0,70.0,181.0,Denmark
federico-giabbecucci,Federico  Giabbecucci,1975.0,,,Italy
peter-wrolich,Peter  Wrolich,1974.0,68.0,179.0,Austria
kilian-patour,Kilian  Patour,1982.0,,,France
sean-quinn,Sean  Quinn,2000.0,67.0,187.0,United States
marcello-siboni,Marcello  Siboni,1965.0,,,Italy
carlos-hernandez,Carlos  Hernández,1958.0,,,Spain
gustavo-cesar-veloso,Gustavo  César Veloso,1980.0,69.0,182.0,Spain
carlos-betancur,Carlos  Betancur,1989.0,60.0,167.0,Colombia
jordi-warlop,Jordi  Warlop,1996.0,72.0,182.0,Belgium
brendan-canty,Brendan  Canty,1992.0,60.0,170.0,Australia
dario-david-cioni,Dario David  Cioni,1974.0,72.0,185.0,Italy
jacopo-guarnieri,Jacopo  Guarnieri,1987.0,80.0,190.0,Italy
przemyslaw-niemiec,Przemysław  Niemiec,1980.0,62.0,184.0,Poland
guido-trenti,Guido  Trenti,1972.0,68.0,180.0,United States
jose-luis-uribezubia,José Luis  Uribezubia,1945.0,,,Spain
erik-pettersson,Erik  Pettersson,1944.0,67.0,180.0,Sweden
jean-marc-marino,Jean-Marc  Marino,1983.0,65.0,177.0,France
marco-franceschini,Marco  Franceschini,1960.0,,,Italy
georges-barras,Georges  Barras,1949.0,,,Belgium
maximilian-sciandri,Maximilian  Sciandri,1967.0,75.0,187.0,Great Britain
nicola-miceli,Nicola  Miceli,1971.0,,,Italy
raffaele-ferrara,Raffaele  Ferrara,1976.0,60.0,174.0,Italy
alexander-evans,Alexander  Evans,1997.0,63.0,184.0,Australia
stephane-rossetto,Stéphane  Rossetto,1987.0,68.0,180.0,France
maurizio-nuzzi,Maurizio  Nuzzi,1965.0,,,Italy
alfredo-irusta,Alfredo  Irusta,1968.0,,,Spain
jan-van-camp,Jan Van Camp,1961.0,,,Belgium
daniel-wyder,Daniel  Wyder,1962.0,,,Switzerland
nicolas-portal,Nicolas  Portal,1979.0,70.0,184.0,France
jan-huisjes,Jan  Huisjes,1951.0,,,Netherlands
fabio-bulgarelli,Fabio  Bulgarelli,1977.0,,,Italy
jerome-chiotti,Jérôme  Chiotti,1972.0,,,France
yanto-barker,Yanto  Barker,1980.0,,182.0,Great Britain
ferdi-van-den-haute,Ferdi Van Den Haute,1952.0,,,Belgium
martijn-verschoor,Martijn  Verschoor,1985.0,74.5,179.0,Netherlands
lauri-aus,Lauri  Aus,1970.0,75.0,179.0,Estonia
ezio-moroni,Ezio  Moroni,1961.0,,,Italy
sergio-marinangeli,Sergio  Marinangeli,1980.0,65.0,174.0,Italy
cameron-meyer,Cameron  Meyer,1988.0,70.0,181.0,Australia
calvin-watson,Calvin  Watson,1993.0,72.0,192.0,Australia
luis-maria-diaz-de-otazu,Luis María  Díaz de Otazu,1966.0,,,Spain
sebastien-joly,Sébastien  Joly,1979.0,74.0,180.0,France
francisco-tomas-garcia-rodriguez,Francisco Tomás  García,1975.0,80.0,191.0,Spain
dominique-lecrocq,Dominique  Lecrocq,1963.0,,,France
fabiano-fontanelli,Fabiano  Fontanelli,1965.0,68.0,175.0,Italy
jonas-vingegaard,Jonas  Vingegaard,1996.0,58.0,175.0,Denmark
dries-de-pooter,Dries De Pooter,2002.0,61.0,182.0,Belgium
leszek-plucinski,Leszek  Pluciński,1990.0,59.0,175.0,Poland
marc-madiot,Marc  Madiot,1959.0,68.0,179.0,France
bram-schmitz,Bram  Schmitz,1977.0,77.0,195.0,Netherlands
jos-jacobs,Jos  Jacobs,1953.0,,,Belgium
piotr-chmielewski,Piotr  Chmielewski,1970.0,72.0,187.0,Poland
jeanot-deriemaecker,Jeanot  Deriemaecker,1971.0,,,Belgium
matthew-wilson,Matthew  Wilson,1977.0,72.0,186.0,Australia
pello-bilbao,Pello  Bilbao,1990.0,60.0,174.0,Spain
silvestro-milani,Silvestro  Milani,1958.0,,,Italy
fortunato-baliani,Fortunato  Baliani,1974.0,66.0,178.0,Italy
mickael-pichon,Mickaël  Pichon,1973.0,62.0,174.0,France
dominique-turcksin,Dominique  Turcksin,1959.0,,,Belgium
romain-combaud,Romain  Combaud,1991.0,63.0,175.0,France
marc-dierickx,Marc  Dierickx,1954.0,,,Belgium
vincent-barteau,Vincent  Barteau,1962.0,,,France
pedro-manuel-rodrigues-silva,Pedro Manuel Rodrigues  Silva,1966.0,,,Portugal
leith-sherwin,Leith  Sherwin,1972.0,,,Australia
philippe-deleye,Philippe  Deleye,1962.0,,,Belgium
gino-mader,Gino  Mäder,1997.0,61.0,181.0,Switzerland
igor-merino,Igor  Merino,1990.0,,,Spain
antoine-guttierrez,Antoine  Gutierrez,1953.0,,,France
walter-schoonjans,Walter  Schoonjans,1956.0,,,Belgium
manuel-jorge-dominguez,Manuel Jorge  Domínguez,1962.0,67.0,173.0,Spain
fabrizio-convalle,Fabrizio  Convalle,1965.0,,,Italy
roberto-ballini,Roberto  Ballini,1944.0,,,Italy
fred-rodriguez,Fred  Rodriguez,1973.0,68.0,178.0,United States
bernardo-alfonsel,Bernardo  Alfonsel,1954.0,,,Spain
jos-van-de-poel,Jos Van De Poel,1954.0,,,Belgium
michel-laurent,Michel  Laurent,1953.0,,,France
rick-pluimers,Rick  Pluimers,2000.0,67.0,180.0,Netherlands
anton-vorobyev,Anton  Vorobyev,1990.0,74.0,180.0,Russia
jacques-bossis,Jacques  Bossis,1952.0,,,France
samuel-spokes,Samuel  Spokes,1992.0,63.0,181.0,Australia
sergio-jaramillo,Sergio  Jaramillo,1958.0,,,Colombia
camilo-santos,Camilo  Santos,1964.0,,,Spain
ronan-de-meyer,Ronan De Meyer,1953.0,,,Belgium
oscar-de-jesus-vargas-restrepo,Óscar de Jesús  Vargas,1964.0,,,Colombia
heberth-gutierrez-garcia,Heberth  Gutiérrez García,1973.0,,,Colombia
bruno-wojtinek,Bruno  Wojtinek,1963.0,,,France
jose-luis-villanueva,José Luis  Villanueva,1965.0,,,Spain
charles-jochums,Charles  Jochums,1957.0,,,Belgium
andre-meuwissen,André  Meuwissen,1962.0,,,Belgium
thomas-dekker,Thomas  Dekker,1984.0,69.0,188.0,Netherlands
pieter-vries,Pieter  Vries,1975.0,,,Netherlands
viktor-klimov,Viktor  Klimov,1964.0,,,Ukraine
ludovic-martin,Ludovic  Martin,1976.0,,,France
ricardo-valdes,Ricardo  Valdés,1976.0,60.0,177.0,Spain
emile-bodart,Emile  Bodart,1942.0,,,Belgium
eleuterio-anguita,Eleuterio  Anguita,1969.0,,,Spain
gabriele-missaglia,Gabriele  Missaglia,1970.0,,,Italy
davide-casarotto,Davide  Casarotto,1971.0,74.0,180.0,Italy
gabriele-bosisio,Gabriele  Bosisio,1980.0,,,Italy
harold-tejada,Harold  Tejada,1997.0,63.0,180.0,Colombia
kevin-van-melsen,Kévin Van Melsen,1987.0,77.0,185.0,Belgium
hugh-porter,Hugh  Porter,1940.0,,,Great Britain
txema-del-olmo-zendegi,Txema del Olmo,1973.0,,,Spain
antonio-balboa,Antonio  Balboa,1964.0,66.0,172.0,Spain
julius-johansen,Julius  Johansen,1999.0,77.0,188.0,Denmark
unai-emillio-yus,Unai Emillio  Yus,1974.0,,,Spain
stefano-zanini,Stefano  Zanini,1969.0,80.0,181.0,Italy
fredrik-kessiakoff,Fredrik  Kessiakoff,1980.0,61.0,175.0,Sweden
fernando-gaviria,Fernando  Gaviria,1994.0,71.0,181.0,Colombia
edwig-van-hooydonck,Edwig Van Hooydonck,1966.0,,,Belgium
dominique-perras,Dominique  Perras,1974.0,,,Canada
kenneth-van-bilsen,Kenneth  Vanbilsen,1990.0,73.0,184.0,Belgium
riccardo-lucca,Riccardo  Lucca,1997.0,74.0,184.0,Italy
gomez-perez,Sergio  Perez,1978.0,,,Spain
walter-riccomi,Walter  Riccomi,1950.0,66.0,169.0,Italy
ronny-de-cnodder,Ronny De Cnodder,1958.0,,,Belgium
natnael-tesfatsion,Natnael  Tesfatsion,1999.0,60.0,175.0,Eritrea
erich-machler,Erich  Mächler,1960.0,,,Switzerland
frederic-bessy,Frédéric  Bessy,1972.0,65.0,176.0,France
christophe-kern,Christophe  Kern,1981.0,72.0,185.0,France
luca-pierfelici,Luca  Pierfelici,1983.0,,,Italy
roger-hammond,Roger  Hammond,1974.0,71.0,174.0,Great Britain
aaron-van-poucke,Aaron Van Poucke,1998.0,68.0,177.0,Belgium
luke-rowe,Luke  Rowe,1990.0,72.0,185.0,Great Britain
francisco-javier-ochaita,Francisco Javier  Ochaita,1965.0,,,Spain
camilo-jorge-castiblanco,Jorge Camilo  Castiblanco,1987.0,,,Colombia
patrick-perret,Patrick  Perret,1953.0,,,France
alberto-lopez-de-munain,Alberto  López de Munain,1972.0,65.0,179.0,Spain
leonardo-bevilacqua,Leonardo  Bevilacqua,1956.0,,,Italy
ruben-galvan,Ruben  Galvañ,1974.0,,,Spain
erwin-lienhard,Erwin  Lienhard,1957.0,,,Switzerland
arthur-vanoverberghe,Arthur  Vanoverberghe,1990.0,65.0,181.0,Belgium
manuele-spadi,Manuele  Spadi,1981.0,,,Italy
aldo-moser,Aldo  Moser,1934.0,,,Italy
kai-reus,Kai  Reus,1985.0,70.0,185.0,Netherlands
aldo-parecchini,Aldo  Parecchini,1950.0,71.0,173.0,Italy
rasmus-byriel-iversen,Rasmus Byriel  Iversen,1997.0,77.0,190.0,Denmark
patrick-bevin,Patrick  Bevin,1991.0,75.0,180.0,New Zealand
stefano-casagrande,Stefano  Casagrande,1962.0,,,Italy
enzo-mattioda,Enzo  Mattioda,1946.0,,,France
fabien-de-waele,Fabien De Waele,1975.0,62.0,175.0,Belgium
david-rayner,David  Rayner,1967.0,,,Great Britain
tom-desmet,Tom  Desmet,1969.0,,,Belgium
callum-scotson,Callum  Scotson,1996.0,77.0,183.0,Australia
julien-morice,Julien  Morice,1991.0,81.0,192.0,France
marco-vergnani,Marco  Vergnani,1969.0,,,Italy
marnix-cappelle,Marnix  Cappelle,1969.0,,,Belgium
rafael-casero-moreno,Rafael  Casero,1976.0,74.0,183.0,Spain
jacek-morajko,Jacek  Morajko,1981.0,65.0,180.0,Poland
vegard-breen,Vegard  Breen,1990.0,74.0,187.0,Norway
diego-ferrari,Diego  Ferrari,1970.0,74.0,182.0,Italy
oscar-freire,Óscar  Freire,1976.0,63.0,171.0,Spain
paolo-ciavatta,Paolo  Ciavatta,1984.0,,,Italy
robert-d-hondt,Robert  D'Hondt,1962.0,,,Belgium
sander-de-pestel,Sander De Pestel,1998.0,74.0,184.0,Belgium
micol-gianelli,Micol  Gianelli,1962.0,,,Italy
kirk-willett,Kirk  Willett,1970.0,,,United States
francesco-casagrande,Francesco  Casagrande,1970.0,64.0,171.0,Italy
alessandro-brendolin,Alessandro  Brendolin,1977.0,,,Italy
eloy-ruiz-pinto,Eloy  Ruíz,1989.0,66.0,173.0,Spain
riccardo-ricco,Riccardo  Riccò,1983.0,57.0,174.0,Italy
enrico-degano,Enrico  Degano,1976.0,68.0,182.0,Italy
gianni-bugno,Gianni  Bugno,1964.0,68.0,177.0,Italy
domingo-perurena,Domingo  Perurena,1943.0,,,Spain
renato-silva,Renato Manuel Gomes  da Silva,1976.0,,,Portugal
sergi-escobar-roure,Sergi  Escobar,1974.0,,,Spain
dorian-de-maeght,Dorian De Maeght,1997.0,79.0,181.0,Belgium
willie-smit,Willie  Smit,1992.0,72.0,180.0,South Africa
maxime-vantomme,Maxime  Vantomme,1986.0,63.0,174.0,Belgium
walter-muller,Walter  Muller,1952.0,,,Switzerland
marcel-arntz,Marcel  Arntz,1965.0,70.0,179.0,Netherlands
willy-monty,Willy  Monty,1939.0,,,Belgium
jose-antonio-747,José Antonio  Cabrero,1958.0,,,Spain
michael-schwarzmann,Michael  Schwarzmann,1991.0,69.0,174.0,Germany
nick-schultz,Nick  Schultz,1994.0,68.0,180.0,Australia
samuele-rivi,Samuele  Rivi,1998.0,72.0,186.0,Italy
frederic-amorison,Frédéric  Amorison,1978.0,70.0,183.0,Belgium
ricky-eno-jorgensen,Ricky  Enø Jørgensen,1989.0,,,Denmark
luc-de-grauwe,Luc De Grauwe,1956.0,,,Belgium
sven-krauss,Sven  Krauß,1983.0,81.0,188.0,Germany
joaquim-leite,Joaquim  Leite,1945.0,,,Portugal
ruben-lobato,Rubén  Lobato,1978.0,64.0,173.0,Spain
robbie-mcewen,Robbie  McEwen,1972.0,67.0,171.0,Australia
claudio-corioni,Claudio  Corioni,1982.0,67.0,180.0,Italy
alexys-brunel,Alexys  Brunel,1998.0,70.0,191.0,France
laszlo-bodrogi,László  Bodrogi,1976.0,79.0,187.0,France
nikita-stalnov,Nikita  Stalnov,1991.0,63.0,176.0,Kazakhstan
andrea-zordan,Andrea  Zordan,1991.0,65.0,176.0,Italy
fabrizio-bontempi,Fabrizio  Bontempi,1966.0,,,Italy
patrick-roelandt,Patrick  Roelandt,1962.0,,,Belgium
alex-cano-ardila,Alex  Cano,1983.0,,,Colombia
steve-bovay,Steve  Bovay,1984.0,,,Switzerland
jorn-reuss,Jorn  Reuss,1968.0,,,Germany
carlos-ramon-golbano,Carlos Ramón  Golbano,1976.0,,,Spain
tom-paquot,Tom  Paquot,1999.0,70.0,184.0,Belgium
antonio-pinto,António Joaquim de Castro Oliveira Pinto,1959.0,,,Portugal
andrea-bagioli,Andrea  Bagioli,1999.0,60.0,176.0,Italy
yukiya-arashiro,Yukiya  Arashiro,1984.0,64.0,170.0,Japan
davide-mucelli,Davide  Mucelli,1986.0,,,Italy
melchor-mauri,Melchor  Mauri,1966.0,68.0,179.0,Spain
sandy-casar,Sandy  Casar,1979.0,63.0,179.0,France
marco-van-der-hulst,Marco Van Der Hulst,1963.0,,,Netherlands
raul-rota-rus,Raúl  Rota,1999.0,64.0,174.0,Spain
claudio-fasolo,Claudio  Fasolo,1960.0,,,Italy
stefan-mutter,Stefan  Mutter,1956.0,,,Switzerland
